x_mm,y_mm,z_mm,rx_deg,ry_deg,rz_deg
-5.223561362258359395e+02,-6.011805226056212632e+02,3.449346210563057866e+02,-8.849211999999999989e+01,2.462764200000000159e+01,1.282023360000000025e+02
-5.233336739332946763e+02,-5.999390460115553196e+02,3.441935051618211219e+02,-8.847972699999999691e+01,2.562729300000000165e+01,1.282315199999999891e+02
-5.243036962025344110e+02,-5.987084149415065895e+02,3.434249345152408068e+02,-8.846665799999999535e+01,2.662693799999999911e+01,1.282611960000000124e+02
-5.252659075553751791e+02,-5.974890042576205360e+02,3.426291432306290403e+02,-8.845288700000000404e+01,2.762657700000000105e+01,1.282913969999999892e+02
-5.262200148929176748e+02,-5.962811854042039386e+02,3.418063737137201770e+02,-8.843838700000000586e+01,2.862620899999999935e+01,1.283221540000000118e+02
-5.271657275848242534e+02,-5.950853262945802271e+02,3.409568765880794103e+02,-8.842312800000000550e+01,2.962583400000000111e+01,1.283535029999999892e+02
-5.281027575578476672e+02,-5.939017911990185894e+02,3.400809106187604129e+02,-8.840707799999999850e+01,3.062545199999999923e+01,1.283854800000000012e+02
-5.290308193835809334e+02,-5.927309406337743667e+02,3.391787426334832389e+02,-8.839020299999999963e+01,3.162506099999999876e+01,1.284181240000000059e+02
-5.299496303654015037e+02,-5.915731312512720024e+02,3.382506474413555679e+02,-8.837246600000000285e+01,3.262466200000000072e+01,1.284514780000000087e+02
-5.308589106245835865e+02,-5.904287157314652177e+02,3.372969077491636085e+02,-8.835382699999999545e+01,3.362425400000000053e+01,1.284855849999999862e+02
-5.317583831855520202e+02,-5.892980426744077249e+02,3.363178140752567629e+02,-8.833424399999999821e+01,3.462383599999999717e+01,1.285204929999999877e+02
-5.326477740602510949e+02,-5.881814564940656282e+02,3.353136646610527123e+02,-8.831366900000000442e+01,3.562340900000000232e+01,1.285562520000000006e+02
-5.335268123316049014e+02,-5.870792973134063004e+02,3.342847653801904926e+02,-8.829205399999999315e+01,3.662297000000000224e+01,1.285929169999999999e+02
-5.343952302360403337e+02,-5.859919008607927253e+02,3.332314296453581619e+02,-8.826934300000000633e+01,3.762252000000000152e+01,1.286305450000000121e+02
-5.352527632450512556e+02,-5.849195983677184358e+02,3.321539783128245062e+02,-8.824548000000000059e+01,3.862205699999999808e+01,1.286691989999999919e+02
