direction,index,angle_deg,x_m,y_m,z_m,wire_vx,wire_vy,wire_vz,R00,R01,R02,R10,R11,R12,R20,R21,R22
X_PLUS,16,16.0,-0.9858484126279773,-0.8673170694698928,0.26605734854643953,-0.46547088654391566,-0.09309542025677126,-0.8801534505455493,-0.4172107124467906,-0.871713381734106,0.2570038939886522,0.13482917851369772,0.22029228005112678,0.9660705998896755,-0.8987526434125037,0.43770662715518127,0.025624100051948383
X_PLUS,17,17.0,-0.986457307120054,-0.8671851211599819,0.266372328927699,-0.48069324884583287,-0.08979671250899815,-0.8722789410140627,-0.432777813827218,-0.8640904827236574,0.2570038939886522,0.13875844104892265,0.21783868129070946,0.9660705998896755,-0.8907578003568684,0.4537553818963707,0.025624100051948383
X_PLUS,18,18.0,-0.9870603446593236,-0.8670520787321305,0.266697937493574,-0.4957691873275716,-0.0864706518127146,-0.8641387268671875,-0.44820938253141857,-0.8561876826289165,0.2570038939886522,0.14264399370737177,0.2153143912701005,0.9660705998896755,-0.8824743851636806,0.4696619688951959,0.025624100051948383
X_PLUS,19,18.999999999999996,-0.9876573415547097,-0.8669179827123511,0.26703407506054117,-0.5106941097122264,-0.08311825131822881,-0.8557352876930087,-0.4634998265840773,-0.8480076115408398,0.2570038939886522,0.146484422060889,0.2127202626039418,0.9660705998896755,-0.8739051578117716,0.48542062239516587,0.025624100051948383
X_PLUS,20,20.0,-0.988248115955175,-0.8667828739475902,0.26738063923784133,-0.5254634697238579,-0.07974053219920695,-0.8470711832605046,-0.4786436097633962,-0.8395530318612013,0.2570038939886522,0.1502783301331251,0.21005718155112454,0.9660705998896755,-0.8650530147482669,0.5010256352438092,0.025624100051948383
X_PLUS,21,21.0,-0.988832487905114,-0.8666467935932864,0.26773752445866883,-0.5400727684723327,-0.0763385233416133,-0.8381490527398167,-0.4936352559377248,-0.830826836693403,0.2570038939886522,0.15402434150825087,0.20732606746801602,0.9660705998896755,-0.8559209871934714,0.5164713633671097,0.025624100051948383
X_PLUS,22,22.0,-0.9894102793991698,-0.866509783100834,0.2681046220123282,-0.5545175558237284,-0.07291326103030195,-0.8289716138983322,-0.5084693533385344,-0.821832048042763,0.2570038939886522,0.15772110041752058,0.2045278722127843,0.9660705998896755,-0.8465122392491317,0.5317522301767512,0.025624100051948383
X_PLUS,23,22.999999999999996,-0.9899813144364562,-0.8663718842049561,0.2684818200773485,-0.568793431755888,-0.06946578863335413,-0.8195416622728258,-0.523140558759319,-0.8125718148297154,0.2570038939886522,0.16136727280101032,0.20166357950201855,0.9660705998896755,-0.8368300658136943,0.546862730899424,0.025624100051948383
X_PLUS,24,24.0,-0.990545419074169,-0.8662331389109923,0.268869003755545,-0.582896047698709,-0.06599715628425838,-0.8098620703179127,-0.5376436016702318,-0.8030494107199948,0.2570038939886522,0.16496154734193413,0.19873420422100843,0.9660705998896755,-0.826877890308851,0.561797436817677,0.025624100051948383
X_PLUS,25,25.0,-0.9911024214805711,-0.8660935894821031,0.2692660551070187,-0.5968211078587602,-0.06250842056202963,-0.7999357865310707,-0.5519732882385125,-0.7932682317765118,0.2570038939886522,0.16850263647102304,0.1957407916892054,0.9660705998896755,-0.8166592622223043,0.5765509994120638,0.025624100051948383
X_PLUS,26,26.0,-0.9916521519873336,-0.8659532784263966,0.26967285318608153,-0.6105643705278218,-0.05900064416936504,-0.7897658345544994,-0.5661245052450652,-0.7832317939382312,0.2570038939886522,0.17198927733854996,0.19268441688254395,0.9660705998896755,-0.8061778544723203,0.5911181543946474,0.025624100051948383
